group,variable,value
Unknown,1540,1
Operation/Personnel Violations,1541,1065
Use Of Force,1541,903
Illegal Search,1541,403
Verbal Abuse,1541,282
Traffic,1541,183
Lockup Procedures,1541,142
Domestic,1541,76
False Arrest,1541,71
Criminal Misconduct,1541,66
Conduct Unbecoming (Off-Duty),1541,62
Supervisory Responsibilities,1541,30
Drug / Alcohol Abuse,1541,13
Bribery / Official Corruption,1541,12
Money / Property,1541,1
Medical,1541,1
Operation/Personnel Violations,1542,1099
Use Of Force,1542,659
Conduct Unbecoming (Off-Duty),1542,382
Verbal Abuse,1542,278
Traffic,1542,252
Domestic,1542,174
Illegal Search,1542,169
Lockup Procedures,1542,123
Criminal Misconduct,1542,120
False Arrest,1542,56
Supervisory Responsibilities,1542,45
Drug / Alcohol Abuse,1542,43
Bribery / Official Corruption,1542,22
Medical,1542,3
Unknown,1542,3
First Amendment,1542,2
Money / Property,1542,1
Operation/Personnel Violations,1543,2289
Use Of Force,1543,1829
Verbal Abuse,1543,627
Illegal Search,1543,555
Conduct Unbecoming (Off-Duty),1543,420
Traffic,1543,417
Lockup Procedures,1543,325
Domestic,1543,248
Criminal Misconduct,1543,159
False Arrest,1543,159
Supervisory Responsibilities,1543,86
Drug / Alcohol Abuse,1543,46
Bribery / Official Corruption,1543,18
Money / Property,1543,4
Racial Profiling,1543,1
Unknown,1543,1
Operation/Personnel Violations,1544,1651
Use Of Force,1544,1246
Verbal Abuse,1544,561
Traffic,1544,435
Lockup Procedures,1544,273
Illegal Search,1544,251
Domestic,1544,172
Conduct Unbecoming (Off-Duty),1544,167
False Arrest,1544,108
Supervisory Responsibilities,1544,78
Criminal Misconduct,1544,72
Drug / Alcohol Abuse,1544,26
Bribery / Official Corruption,1544,21
First Amendment,1544,4
Racial Profiling,1544,2
Unknown,1544,1
Operation/Personnel Violations,1545,2758
Use Of Force,1545,1464
Verbal Abuse,1545,492
Illegal Search,1545,407
Traffic,1545,345
Drug / Alcohol Abuse,1545,311
Lockup Procedures,1545,252
Conduct Unbecoming (Off-Duty),1545,235
Domestic,1545,185
Criminal Misconduct,1545,135
False Arrest,1545,116
Supervisory Responsibilities,1545,102
Bribery / Official Corruption,1545,29
Unknown,1545,3
First Amendment,1545,2
Racial Profiling,1545,2
Medical,1545,2
Excessive Force,1545,1
Operation/Personnel Violations,1546,2120
Use Of Force,1546,2058
Illegal Search,1546,812
Lockup Procedures,1546,477
Verbal Abuse,1546,466
False Arrest,1546,367
Traffic,1546,262
Criminal Misconduct,1546,184
Domestic,1546,139
Conduct Unbecoming (Off-Duty),1546,106
Supervisory Responsibilities,1546,84
Bribery / Official Corruption,1546,26
Drug / Alcohol Abuse,1546,17
Money / Property,1546,5
Unknown,1546,2
Racial Profiling,1546,2
First Amendment,1546,1
Excessive Force,1546,1
Use Of Force,1547,1168
Operation/Personnel Violations,1547,1101
Illegal Search,1547,434
Verbal Abuse,1547,260
False Arrest,1547,233
Lockup Procedures,1547,215
Traffic,1547,167
Domestic,1547,93
Criminal Misconduct,1547,88
Conduct Unbecoming (Off-Duty),1547,65
Supervisory Responsibilities,1547,52
Bribery / Official Corruption,1547,11
Money / Property,1547,6
Drug / Alcohol Abuse,1547,4
Unknown,1547,1
First Amendment,1547,1
Operation/Personnel Violations,1548,1320
Use Of Force,1548,1254
Illegal Search,1548,451
Verbal Abuse,1548,346
Lockup Procedures,1548,270
Traffic,1548,193
False Arrest,1548,170
Domestic,1548,96
Conduct Unbecoming (Off-Duty),1548,93
Criminal Misconduct,1548,85
Supervisory Responsibilities,1548,44
Bribery / Official Corruption,1548,33
Drug / Alcohol Abuse,1548,16
Money / Property,1548,1
Unknown,1548,1
Racial Profiling,1548,1
First Amendment,1548,1
Operation/Personnel Violations,1549,3072
Use Of Force,1549,1456
Verbal Abuse,1549,699
Traffic,1549,589
Lockup Procedures,1549,537
Conduct Unbecoming (Off-Duty),1549,379
Illegal Search,1549,274
Domestic,1549,232
Criminal Misconduct,1549,221
Supervisory Responsibilities,1549,135
False Arrest,1549,115
Drug / Alcohol Abuse,1549,79
Bribery / Official Corruption,1549,68
Unknown,1549,7
Medical,1549,4
Money / Property,1549,3
First Amendment,1549,3
Excessive Force,1549,1
Operation/Personnel Violations,1550,2082
Use Of Force,1550,1615
Illegal Search,1550,620
Verbal Abuse,1550,484
Lockup Procedures,1550,352
Traffic,1550,293
Conduct Unbecoming (Off-Duty),1550,198
False Arrest,1550,139
Domestic,1550,136
Criminal Misconduct,1550,133
Supervisory Responsibilities,1550,82
Drug / Alcohol Abuse,1550,28
Bribery / Official Corruption,1550,13
Money / Property,1550,4
Racial Profiling,1550,3
Medical,1550,2
Unknown,1550,1
Excessive Force,1550,1
Operation/Personnel Violations,1551,2570
Use Of Force,1551,1529
Illegal Search,1551,573
Verbal Abuse,1551,462
Lockup Procedures,1551,330
Traffic,1551,277
Conduct Unbecoming (Off-Duty),1551,233
Criminal Misconduct,1551,173
Drug / Alcohol Abuse,1551,155
False Arrest,1551,154
Domestic,1551,149
Supervisory Responsibilities,1551,118
Bribery / Official Corruption,1551,20
Medical,1551,9
Unknown,1551,8
First Amendment,1551,2
Excessive Force,1551,1
