weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97298
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97300
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97308
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97309
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97310
OTHER (SPECIFY),,,,,,,,,,,,,,,,,97311
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97311
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97329
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97335
OTHER (SPECIFY),,,,,,,,,,,,,,,,,97338
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97339
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97348
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97355
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97358
SEMI-AUTO PISTOL,"F.I. INDUSTRIES(FORMERLY) --US-- (BERETTA USA CORP,BRONCO)",,PX4 STORM,4, 9 MM,12,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,DEPARTMENT VEHICLE,OVER 15FT,BOTH,STANDING,97371
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97372
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97378
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97390
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97402
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4 INCH, 9 MM,1,No,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,false,NONE,05-10FT,PERSON,STANDING,97444
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97455
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97512
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,97517
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97517
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97521
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97568
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97582
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97590
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97603
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97632
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97634
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97640
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97647
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97660
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97665
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97667
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97669
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97673
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97682
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4,45 CAL,2,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,0,true,NONE,05-10FT,PERSON,OTHER (SPECIFY),97693
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97698
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97716
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97735
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97744
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97756
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97773
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97797
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97820
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97830
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97831
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97843
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97867
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97873
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97874
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97891
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97909
OTHER (SPECIFY),,,,,,0,No,0,RIGHT SIDE (WAIST),OTHER (SPECIFY),NONE,false,NONE,0-5FT,NONE,STANDING,97918
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97929
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97967
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97976
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97979
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97988
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97990
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,97995
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97995
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98020
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98022
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98026
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98039
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98042
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,98043
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98045
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98051
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4INCH, 9 MM,1,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,OVER 15FT,OBJECT,STANDING,98052
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98061
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98062
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98074
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98109
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98110
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.49, 9 MM,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98111
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98117
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98136
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98157
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98169
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98205
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,22,4, 9 MM,2,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98208
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98217
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98243
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98245
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98256
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98267
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98268
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98272
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98273
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,9,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98278
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4, 9 MM,3,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,PERSON,STANDING,98279
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,22,4.48,40 S&W,9,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98280
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98288
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98295
