weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4, 9 MM,7,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,BUILDING,10-15FT,BOTH,STANDING,99930
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,26,3, 9 MM,11,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,CAR,10-15FT,PERSON,STANDING,99933
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,99947
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99950
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99953
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99972
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100001
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100003
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100044
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100053
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100068
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100074
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100084
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100096
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100100
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100101
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,100109
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100112
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100113
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100121
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100138
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100152
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.48, 9 MM,10,Yes,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,SPEED RELOAD,true,POLICE VEHICLE,05-10FT,PERSON,STANDING,100157
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4.49, 9 MM,2,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE DOOR,05-10FT,PERSON,STANDING,100158
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100166
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100189
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100201
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100221
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.6,45 CAL,2,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,BUSHES,10-15FT,PERSON,STANDING,100234
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100235
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100236
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100239
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.49, 9 MM,4,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,OVER 15FT,PERSON,STANDING,100245
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100246
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100255
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100267
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100285
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100293
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,1,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,BRICK WALL,0-5FT,UNKNOWN,STANDING,100297
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,1,No,0,OTHER (SPECIFY),OTHER (SPECIFY),,true,UNKNOWN,05-10FT,UNKNOWN,OTHER (SPECIFY),100298
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.5,45 CAL,14,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,BRICK WALL,05-10FT,PERSON,STANDING,100299
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,5,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,CONCRETE STAIRS,OVER 15FT,PERSON,KNEELING,100300
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P220,40,45 CAL,5,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,DNA,OVER 15FT,UNKNOWN,STANDING,100301
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100306
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100309
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100318
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100321
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100322
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100358
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100378
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100382
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100408
SEMI-AUTO PISTOL,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",,5943,4, 9 MM,1,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,DNA,10-15FT,UNKNOWN,STANDING,100423
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100444
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100445
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100446
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100464
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100480
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100501
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100502
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100518
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100531
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100548
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100569
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100579
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,100601
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100618
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100631
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,100633
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100633
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100646
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100648
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100662
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100665
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100676
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,100684
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100687
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100691
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,100704
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100713
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100736
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100746
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100748
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100753
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100760
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,9,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,CAR DOOR,0-5FT,PERSON,STANDING,100770
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100775
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100777
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,23,4,40 S&W,3,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,0-5FT,PERSON,STANDING,100780
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,100784
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100784
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,100786
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100886
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,100890
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100894
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,100901
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100911
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100939
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,2,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,0-5FT,NONE,OTHER (SPECIFY),100948
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4.01, 9 MM,4,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,10-15FT,PERSON,STANDING,100951
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100955
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100956
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100959
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100960
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100966
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100979
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,100998
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101023
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101027
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101068
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101125
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101133
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101170
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101179
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101181
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101205
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101232
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101238
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,101257
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101258
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101260
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101261
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101270
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101275
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101315
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101333
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101339
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101349
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101366
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101375
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101386
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101394
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101396
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101465
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101494
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101501
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101502
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101515
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101534
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101557
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101561
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101573
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101575
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101581
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101582
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101621
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101624
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101632
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101653
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101669
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101679
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101683
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101689
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101733
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,101735
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,101747
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101779
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,101782
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101787
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,101794
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101849
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,101857
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101857
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101891
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101897
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101898
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,101921
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101945
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,101963
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102037
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,102070
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102076
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102082
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102092
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102104
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102106
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102111
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102118
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102126
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102151
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102173
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102185
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102191
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102192
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102229
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102230
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102280
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102310
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102327
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102379
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102381
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,102383
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102385
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102390
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102391
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102392
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102401
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102405
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102420
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102437
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102494
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102534
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102535
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102544
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102548
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102583
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102601
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102621
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102637
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102647
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,102657
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102657
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102662
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102668
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102670
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102676
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102691
SEMI-AUTO PISTOL,SPRINGFIELD ARMS CO.--US--(NAME USED BY CRESCENT),,XDM,4.5, 9 MM,5,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,10-15FT,PERSON,SITTING,102741
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,16,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,0-5FT,PERSON,STANDING,102742
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102755
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,102758
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102788
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102813
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102819
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102821
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102825
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102829
RIFLE,,,DEFENDER,16,,3,No,,,,,true,DISTANCE,,,,102831
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,3,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,DISTANCE,0-5FT,ANIMAL,STANDING,102832
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102840
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102876
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,102925
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.49, 9 MM,3,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,05-10FT,PERSON,STANDING,102935
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102942
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102962
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102979
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102985
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102987
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,102990
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103032
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103034
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103038
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103043
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103044
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103101
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103105
SEMI-AUTO PISTOL,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",,M&P,4, 9 MM,3,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,0-5FT,PERSON,STANDING,103156
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103161
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103191
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103204
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.6, 45 ACP,14,Yes,13,RIGHT SIDE (WAIST),STRONG SIDE DRAW,EMERGENCY RELOAD,true,POLICE VEHICLE,OVER 15FT,BOTH,SITTING,103227
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,103248
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103254
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103261
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103262
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103265
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103285
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103293
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103294
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103336
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103345
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103350
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103351
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103357
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103360
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103387
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103394
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103409
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103429
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103435
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103455
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,103456
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103467
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103486
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103513
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103553
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103568
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,103584
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103600
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103642
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,103645
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,8,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,OTHER (SPECIFY),103649
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103650
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103651
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,103654
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103654
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,103665
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103667
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103668
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103691
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103693
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,103696
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,103701
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103720
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,103768
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103770
SEMI-AUTO PISTOL,SPRINGFIELD ARMS CO.--US--(NAME USED BY CRESCENT),,XD,4, 45 ACP,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,WALL,10-15FT,OBJECT,STANDING,103793
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,true,CORNER OF BUILDING,OVER 15FT,UNKNOWN,STANDING,103795
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,22,4.5,40 S&W,3,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,REAR FENCE,10-15FT,PERSON,STANDING,103797
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.5, 45 ACP,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,true,NO COVER,05-10FT,UNKNOWN,STANDING,103798
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,1,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,UNKNOWN,STANDING,103801
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103812
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103814
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,103831
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103839
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103842
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103846
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103872
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103877
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103881
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,22,4,40 S&W,6,Yes,15,RIGHT SIDE (WAIST),STRONG SIDE DRAW,LT HAND TACTICAL,false,SQUAD CAR,0-5FT,PERSON,STANDING,103890
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,23 GEN 4,4.02,40 S&W,6,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,true,NONE,0-5FT,PERSON,STANDING,103891
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103896
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103904
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103905
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,103927
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,2,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,10-15FT,NONE,STANDING,103970
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4.02, 9 MM,5,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,NONE,STANDING,103973
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,103992
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,104011
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,104011
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,104012
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,104015
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,104023
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,104031
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,104036
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,104048
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,104060
